騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率
鮫島克,阪神芝1200m,0,0,0,1,0.0,0.0
鮫島克,阪神芝1400m,0,0,0,2,0.0,0.0
鮫島克,阪神芝1600m,0,0,0,2,0.0,0.0
鮫島克,阪神芝2200m,0,0,0,1,0.0,0.0
小野寺,中京ダート1200m,0,0,0,1,0.0,0.0
小野寺,中京ダート1800m,0,0,0,2,0.0,0.0
小野寺,中京芝1600m,0,0,0,1,0.0,0.0
小野寺,中京芝3000m,2,1,3,24,0.64,0.86
小野寺,中京芝3300m,0,0,1,4,0.0,0.28
小野寺,中京芝3330m,0,0,0,3,0.0,0.0
小野寺,中京芝3900m,0,1,0,1,0.0,1.9
小野寺,中山ダート1200m,0,0,0,2,0.0,0.0
小野寺,中山芝2880m,1,3,2,35,0.21,0.48
小野寺,中山芝3200m,0,0,0,5,0.0,0.0
小野寺,中山芝3210m,0,1,0,4,0.0,0.54
小野寺,中山芝3350m,0,0,0,3,0.0,0.0
小野寺,中山芝3570m,0,0,0,5,0.0,0.0
小野寺,中山芝4100m,0,0,0,4,0.0,0.0
小野寺,中山芝4250m,0,0,0,1,0.0,0.0
小野寺,京都ダート1800m,0,0,0,1,0.0,0.0
小野寺,京都芝1800m,0,0,0,1,0.0,0.0
小野寺,京都芝2910m,2,1,0,9,1.18,0.42
小野寺,京都芝3170m,0,0,1,2,0.0,1.83
小野寺,京都芝3930m,0,0,0,1,0.0,0.0
小野寺,小倉芝2000m,0,0,0,1,0.0,0.0
小野寺,小倉芝2860m,3,10,5,73,0.29,0.46
小野寺,小倉芝3390m,1,2,2,13,0.31,1.87
小野寺,新潟ダート1800m,0,0,0,2,0.0,0.0
小野寺,新潟芝2850m,2,2,0,23,0.44,0.32
小野寺,新潟芝2890m,1,1,2,32,0.14,0.3
小野寺,新潟芝3250m,1,2,0,8,3.75,0.78
小野寺,新潟芝3290m,1,0,0,4,3.02,1.6
小野寺,東京ダート1600m,0,0,0,1,0.0,0.0
小野寺,東京芝1400m,0,0,0,1,0.0,0.0
小野寺,東京芝3000m,1,1,2,14,0.94,0.66
小野寺,東京芝3110m,0,0,1,6,0.0,0.53
