騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率,単勝平均,単勝標準偏差,複勝平均,複勝標準偏差
舟山瑠,福島芝2600m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
河原田,中京ダート1200m,2,0,1,29,0.43,0.68,6.9,3.7,7.23,7.15
河原田,中京ダート1400m,1,3,5,31,0.14,0.99,5.7,0.0,4.42,3.66
河原田,中京ダート1800m,3,1,1,46,2.18,0.46,37.07,38.65,4.72,5.9
河原田,中京ダート1900m,1,0,1,10,0.33,3.16,4.0,0.0,18.95,17.35
河原田,中京芝1200m,1,1,2,15,0.31,0.52,5.9,0.0,2.48,0.76
河原田,中京芝1400m,0,0,1,18,0.0,0.08,0.0,0.0,1.6,0.0
河原田,中京芝1600m,0,1,0,22,0.0,0.1,0.0,0.0,2.4,0.0
河原田,中京芝2000m,1,0,1,26,0.17,0.4,4.8,0.0,5.55,3.05
河原田,中京芝2200m,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
河原田,中山ダート1800m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,中山芝1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都ダート1200m,0,0,1,24,0.0,0.12,0.0,0.0,2.9,0.0
河原田,京都ダート1400m,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都ダート1800m,0,2,1,41,0.0,0.83,0.0,0.0,12.13,14.76
河原田,京都ダート1900m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都芝1200m,1,0,0,11,0.48,0.19,5.7,0.0,2.3,0.0
河原田,京都芝1400m,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都芝1600m,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都芝1800m,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都芝2000m,0,1,2,8,0.0,0.81,0.0,0.0,2.97,0.91
河原田,京都芝2200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,京都芝2400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,小倉ダート1000m,1,1,1,30,0.36,0.25,11.9,0.0,2.73,0.41
河原田,小倉ダート1700m,2,2,1,57,0.33,0.24,10.3,5.3,3.02,1.08
河原田,小倉芝1200m,2,2,0,75,0.33,0.25,13.1,9.0,4.9,3.87
河原田,小倉芝1800m,0,1,1,22,0.0,0.35,0.0,0.0,4.2,2.4
河原田,小倉芝2000m,1,1,0,23,0.46,0.38,11.5,0.0,4.75,1.15
河原田,小倉芝2600m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟ダート1200m,1,0,0,20,0.27,0.1,5.6,0.0,2.2,0.0
河原田,新潟ダート1800m,1,1,0,20,0.49,0.38,10.7,0.0,4.2,0.1
河原田,新潟ダート2500m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟芝1000m,1,1,1,10,0.56,0.58,7.3,0.0,2.53,0.83
河原田,新潟芝1200m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟芝1400m,0,1,1,8,0.0,3.46,0.0,0.0,17.3,12.7
河原田,新潟芝1600m,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟芝1800m,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟芝2000m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,新潟芝2200m,0,1,0,1,0.0,1.45,0.0,0.0,2.9,0.0
河原田,福島ダート1150m,0,1,1,10,0.0,0.52,0.0,0.0,3.1,0.6
河原田,福島ダート1700m,1,2,1,12,0.37,1.09,5.9,0.0,4.38,4.75
河原田,福島ダート2400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,福島芝1200m,0,3,2,16,0.0,0.56,0.0,0.0,2.36,1.32
河原田,福島芝1800m,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
河原田,福島芝2000m,0,0,1,0,0.0,13.7,0.0,0.0,13.7,0.0
河原田,福島芝2600m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神ダート1200m,0,0,1,24,0.0,0.1,0.0,0.0,2.4,0.0
河原田,阪神ダート1400m,1,2,0,28,0.76,0.34,23.6,0.0,3.5,0.57
河原田,阪神ダート1800m,0,0,5,30,0.0,0.31,0.0,0.0,2.16,0.53
河原田,阪神ダート2000m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神芝1200m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神芝1400m,1,0,0,8,1.92,0.34,17.3,0.0,3.1,0.0
河原田,阪神芝1600m,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神芝1800m,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神芝2000m,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
河原田,阪神芝2200m,1,0,0,1,23.55,2.2,47.1,0.0,4.4,0.0
河原田,阪神芝2400m,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
グラハ,札幌ダート1700m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
グラハ,札幌芝1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
グラハ,札幌芝1800m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
グラハ,札幌芝2000m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Ｍヴェ,札幌ダート1700m,1,0,0,1,2.3,0.9,4.6,0.0,1.8,0.0
Ｍヴェ,札幌芝1200m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
Ｍヴェ,札幌芝1800m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Ｍヴェ,札幌芝2000m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
フォー,中山ダート1200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
フォー,中山ダート1800m,0,0,1,0,0.0,2.0,0.0,0.0,2.0,0.0
フォー,中山芝1200m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
フォー,中山芝2000m,0,1,0,3,0.0,0.72,0.0,0.0,2.9,0.0
フォー,京都ダート1200m,0,0,1,5,0.0,0.23,0.0,0.0,1.4,0.0
フォー,京都ダート1400m,0,0,2,7,0.0,1.1,0.0,0.0,4.95,1.55
フォー,京都ダート1800m,1,2,1,9,0.87,0.78,11.3,0.0,2.53,0.57
フォー,京都ダート1900m,0,0,1,3,0.0,0.55,0.0,0.0,2.2,0.0
フォー,京都芝1200m,1,0,0,3,0.95,0.33,3.8,0.0,1.3,0.0
フォー,京都芝1400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
フォー,京都芝1600m,0,0,1,12,0.0,0.16,0.0,0.0,2.1,0.0
フォー,京都芝1800m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
フォー,京都芝2000m,1,0,1,5,1.66,0.73,11.6,0.0,2.55,0.15
